,gvkey,sich,insbnk,understatement,option,p_aaer,new_p_aaer,misstate,act,ap,at,ceq,che,cogs,csho,dlc,dltis,dltt,dp,ib,invt,ivao,ivst,lct,lt,ni,ppegt,pstk,re,rect,sale,sstk,txp,txt,xint,prcc_f
10,1078,2834.0,0,0,0,2620.5,26206.0,0,8419.189,1525.215,23296.423,9059.432,713.54,6282.564,1554.53,2953.335,3001.54,4335.493,1168.018,1550.39,2212.035,647.214,56.162,7926.816999999999,14236.991000000002,1550.39,11225.405,0.0,6686.685,3353.641,16285.246,169.422,278.399,332.7580000000001,307.336,55.75
11,1081,2621.0,0,0,0,2620.5,26206.0,0,1640.0,1166.0,11707.0,3265.0,208.0,4208.0,440.0,249.0,1579.0,5809.0,707.0,289.0,874.0,0.0,0.0,1415.0,8373.0,289.0,10339.0,0.0,-269.0,506.0,6032.0,0.0,0.0,143.0,486.0,11.63
12,1082,1540.0,0,0,0,2620.5,26206.0,0,34.617,8.039,90.941,22.779,7.911,104.017,2.909,14.907,0.0,35.163000000000004,3.165,-0.909,13.184,4.211,0.0,24.589,68.16199999999999,0.812,61.919,0.0,18.274,11.964,117.326,0.0,0.0,-0.616,4.397,5.211
13,1084,7372.0,0,0,0,2620.5,26206.0,0,0.006,1.146,0.006,-4.699,0.006,2.207,33.824,2.181,0.0,0.0,1.382,-3.285,0.0,0.0,0.0,4.705,4.705,-3.285,0.0,0.0,-24.88,0.0,1.462,0.0,0.0,0.0,0.902,0.016
14,1094,5160.0,0,0,0,2620.5,26206.0,0,90.558,12.062,105.173,69.203,8.298,148.628,6.504,11.574000000000002,0.0,0.6709999999999999,0.909,4.245,37.81800000000001,1.163,0.988,35.299,35.97,4.245,4.671,0.0,37.242,41.5,178.15400000000002,0.521,0.519,2.541,0.29600000000000004,10.02
15,1095,4833.0,0,0,0,2620.5,26206.0,0,90.747,4.332,576.841,223.005,25.794,206.582,35.228,289.086,129.4,1.493,18.326,-40.031,0.0,19.278,9.0,324.738,353.836,45.535,244.30900000000003,0.0,173.273,42.607,198.857,1.224,0.0,-21.206,28.834,17.5
16,1104,3420.0,0,0,0,2620.5,26206.0,0,16.461,2.039,20.173,8.672,0.172,21.761,3.41,2.841,0.0,2.875,0.5660000000000001,1.28,8.802999999999997,0.0,0.0,7.701,11.501,1.28,7.852,0.0,-1.462,6.439,36.165,0.0,0.0,0.4320000000000001,0.7909999999999999,3.9
17,1109,3944.0,0,0,0,2620.5,26206.0,0,3.941,0.087,6.397,3.207,0.483,4.1789999999999985,2.231,1.81,0.0,0.748,0.18,-0.456,1.747,0.0,0.0,2.28,3.19,-0.456,2.193,0.0,-0.145,1.459,8.172,0.2,0.0,-0.162,0.155,0.89
18,1117,3663.0,0,0,0,2620.5,26206.0,0,13.405,3.1710000000000003,17.623,6.482,0.335,15.429,5.346,0.11,0.655,6.997999999999998,0.7609999999999999,0.122,8.961,0.911,0.0,4.143,11.140999999999998,0.122,7.596,0.0,-18.177,3.657,22.809,0.0,0.0,0.0,0.579,1.05
19,1121,5172.0,0,0,0,2620.5,26206.0,0,199.305,152.153,227.027,39.196,14.177,4715.132000000001,4.218,1.0,0.575,11.475,6.726,-4.624,10.004,0.0,0.0,168.97099999999998,187.831,-4.569,74.188,0.0,27.081,167.55599999999995,4717.242,0.0,0.0,-2.438,0.128,7.8
20,1154,8711.0,0,0,0,2620.5,26206.0,0,11.243,2.195,15.857,4.872,0.097,19.353,4.402,2.146,4.101,1.61,1.063,0.271,6.098,0.0,0.0,9.375,10.985,0.271,16.779,0.0,3.092,4.73,27.183000000000003,0.0,0.048,0.152,0.721,2.79
21,1161,3674.0,0,0,0,2620.5,26206.0,0,2353.109,304.99,5647.241999999998,3555.055,869.997,1959.979,340.5030000000001,331.6980000000001,308.457,672.945,622.867,-60.581,380.474,0.0,442.709,1313.937,2092.187,-60.581,6126.278,0.0,1662.433,659.783,3891.754,36.706,56.234,-14.463,68.403,15.86
22,1165,5172.0,0,0,0,2620.5,26206.0,0,1.727,0.254,11.284,-19.296,0.7170000000000001,3.604,7.997999999999998,0.935,0.116,16.354,0.211,-2.716,0.035,8.044,0.441,3.519,26.469,-2.716,1.926,3.987,-33.821,0.171,2.7110000000000003,0.0,0.0,0.3,1.524,0.2
23,1166,3559.0,0,0,0,2620.5,26206.0,0,423.186,54.952,673.8639999999998,285.642,95.758,269.289,49.07,16.387,113.798,126.793,38.063,5.428,183.385,0.0,0.004,167.37400000000005,295.927,5.428,352.777,0.0,58.79600000000001,125.253,499.403,1.6469999999999998,3.762,4.1930000000000005,4.478,19.51
24,1173,3812.0,0,0,0,2126.0,21261.0,1,17.469,0.7929999999999999,22.219,14.171,1.705,16.559,3.92,1.527,0.0,3.347,0.603,1.04,10.948,0.0,0.0,4.553,8.048,1.04,10.329,0.0,8.74,4.263,27.424,0.0,0.406,0.67,0.413,19.25
25,1177,6324.0,1,0,0,2620.5,26206.0,0,18751.2,4183.0,43255.1,9890.3,17055.8,24636.6,144.266,109.7,1566.1,1591.3,597.6,-291.5,0.0,5092.8,15657.6,8138.6,33364.8,-279.6,1027.0,0.0,5976.5,1365.2,25170.6,98.1,147.4,-87.2,142.8,32.99
26,1186,1040.0,0,0,0,2620.5,26206.0,0,57.12600000000001,9.423,395.512,211.315,21.18,66.191,67.723,0.0,37.5,147.266,10.679,-7.655,15.014,0.324,0.0,14.559,184.197,-7.655,381.316,0.0,-42.21,16.597,93.677,87.704,1.231,-0.439,14.618,9.87
27,1209,2810.0,0,0,0,2620.5,26206.0,0,1684.8,408.1,8084.1,3105.8,66.2,3502.8,215.463,487.4,121.0,2027.5,592.4,512.9,478.4,0.0,0.0,1352.4,4860.3,465.6,10226.5,0.0,3513.4,913.4,5717.2,87.1,48.4,219.0,197.2,38.58
28,1210,3728.0,0,0,0,2620.5,26206.0,0,17.727,3.543,22.903,11.1,1.014,58.777,2.724,0.6920000000000001,0.0,3.467,0.6659999999999999,1.278,9.921,0.0,0.982,6.506,11.803,1.278,8.539,0.0,3.56,5.876,70.958,0.078,0.355,0.831,0.491,3.5
29,1213,4513.0,0,0,0,2620.5,26206.0,0,451.707,141.873,1746.844,834.216,201.5,2672.13,48.135,107.41,63.572,218.053,208.355,-19.458,38.413,15.441,0.0,470.73800000000006,912.628,-19.458,2654.599,0.0,537.724,153.201,3211.0890000000004,1.2009999999999998,0.0,-9.446,22.245,14.83
30,1228,3572.0,0,0,0,2620.5,26206.0,0,3.785,1.01,9.781,6.669,0.081,5.01,8.72,1.135,0.0,0.0,0.417,-3.237,1.219,3.4410000000000003,0.0,2.735,3.112,-2.995,0.911,0.0,-50.944,2.45,9.135,0.155,0.0,0.0,0.058,1.15
31,1230,4512.0,0,0,0,2620.5,26206.0,0,919.0,124.6,2950.5,851.3,660.6,1686.6,26.528,43.2,388.8,852.2,207.8,-43.4,70.2,0.0,169.8,752.0,2099.2,-43.4,2519.8,0.0,401.9,83.8,2152.8,1.5,0.0,-20.1,47.4,29.1
32,1234,3841.0,0,0,0,2620.5,26206.0,0,20.678,5.3370000000000015,64.28699999999999,39.175,0.542,31.208,1.6880000000000002,0.0,9.725,17.125,4.569,4.262,11.114,0.0,0.0,5.4460000000000015,25.112,9.754,39.866,0.0,61.66,7.559,57.605,1.778,0.109,1.803,0.223,38.05
33,1238,1311.0,0,0,0,2620.5,26206.0,0,1408.7,1042.8,14097.5,5097.8,104.4,3547.0,147.86,49.4,1264.8,4242.1,1251.6,823.8,320.8,0.0,0.0,1333.8,8140.9,823.8,17125.3,858.8,2045.5,983.5,6312.3,48.1,241.6,443.1,281.2,60.17
34,1239,5990.0,0,0,0,2620.5,26206.0,0,876.949,191.41,1516.501,736.0089999999999,202.83900000000003,1180.114,56.828,2.886,0.042,321.183,37.315,110.376,478.311,0.0,0.8690000000000001,390.30300000000005,780.492,110.376,471.857,0.0,718.508,169.657,2494.18,15.49,30.482,56.86,27.309,38.89
35,1240,5411.0,0,0,0,2620.5,26206.0,0,4609.0,2093.0,15967.0,5915.0,85.0,26094.0,407.0,137.0,623.0,5336.0,1026.0,501.0,3196.0,0.0,0.0,3582.0,10052.0,501.0,15035.0,0.0,5414.0,681.0,37931.0,23.0,51.0,372.0,455.0,28.75
36,1243,3350.0,0,0,0,2620.5,26206.0,0,3817.0,2125.0,17479.0,8631.0,119.0,9999.0,320.902,1207.0,1852.0,2884.0,893.0,5.0,1950.0,195.0,0.0,3535.0,8556.0,5.0,16838.0,160.0,3944.0,1748.0,12626.0,61.0,203.0,42.0,284.0,35.93
37,1244,2870.0,0,0,0,2620.5,26206.0,0,9.019,0.743,21.865,18.175,2.8480000000000003,8.817,2.655,2.0,0.0,0.0,2.742,1.781,2.476,0.0,0.0,3.37,3.491,1.781,18.465,0.199,3.903,2.849,21.989,0.14800000000000002,0.0,0.838,0.08900000000000001,22.0
38,1246,5040.0,0,0,0,2620.5,26206.0,0,2514.637,222.999,6290.991999999998,1395.578,208.716,3078.31,142.648,1430.9620000000002,2307.241,1965.716,178.56799999999996,14.005,299.776,2176.205,128.365,2265.126,4895.414000000002,15.205,687.924,0.0,419.668,1812.063,5273.479,0.0,0.0,53.791,69.373,7.72
39,1254,4400.0,0,0,0,2620.5,26206.0,0,220.014,78.911,1544.419,710.6669999999998,19.291,781.08,40.529,19.9,6.0,207.378,75.433,119.813,16.28,3.33,0.0,195.569,833.752,110.628,2023.256,0.0,622.615,130.491,1052.307,4.558,42.899,67.392,18.658,26.7
40,1258,1311.0,0,0,0,2620.5,26206.0,0,16.472,7.065,36.709,7.047999999999999,4.8039999999999985,82.20299999999997,19.228,11.405,4.655,6.812,1.631,3.714,2.982,0.0,4.614,20.912,28.727,3.714,19.073,0.293,6.308,8.398,95.844,0.0,0.521,0.0,1.261,1.25
41,1262,3826.0,0,0,0,2620.5,26206.0,0,92.241,28.814,395.037,228.795,46.714,213.105,3.891,3.848,0.0,55.021,28.555,31.619,5.715,3.168,0.0,56.226000000000006,166.24200000000005,31.619,665.836,0.0,208.55900000000003,35.414,295.724,0.0,6.872000000000001,1.818,3.809,28.5
42,1263,3312.0,0,0,0,2620.5,26206.0,0,394.0,28.0,1228.0,-157.0,0.0,963.0,53.648,149.0,0.0,2.0,70.0,-393.0,241.0,0.0,0.0,948.0,1385.0,-393.0,1438.0,0.0,-345.0,144.0,912.0,0.0,8.0,56.0,85.0,0.07
43,1266,100.0,0,0,0,2620.5,26206.0,0,61.345,1.81,179.134,112.626,24.952,37.99800000000001,7.045,1.301,43.194,46.705,6.9460000000000015,16.066,23.247,6.283,18.727,7.691,66.508,16.066,138.352,0.0,105.249,12.635,54.609,0.244,0.023,4.046,3.204,28.5
44,1279,4911.0,0,0,0,2620.5,26206.0,0,1312.91,373.958,11167.552,2709.969,37.98,9117.294,125.276,1591.7820000000004,1186.557,3235.73,301.536,453.959,187.355,174.055,0.0,3049.81,8353.591999999999,422.812,11086.883,74.0,1132.256,514.9630000000002,10378.931,670.4780000000002,121.006,248.219,283.282,36.22
45,1283,3576.0,0,0,0,2620.5,26206.0,0,45.547,2.75,66.472,56.315,16.059,37.036,1.17,0.0,0.0,0.0,2.975,-4.084,16.487000000000002,0.0,11.609000000000002,7.701,10.157,-4.084,26.6,0.0,53.863,9.948,60.49100000000001,0.0,0.0,-2.36,0.315,31.1
46,1300,3728.0,0,0,0,2620.5,26206.0,0,9894.0,1862.0,24226.0,9170.0,1393.0,17268.0,814.966,539.0,1237.0,4731.0,723.0,-99.0,3355.0,0.0,0.0,6220.0,15056.0,-99.0,11681.0,0.0,9449.0,3620.0,23652.0,79.0,31.0,-323.0,422.0,33.82
47,1308,7359.0,0,0,0,2620.5,26206.0,0,1.339,0.298,12.465,1.25,0.152,2.307,11.588,1.023,6.207000000000002,6.832999999999998,1.024,-2.273,0.0,0.7909999999999999,0.0,2.958,11.215,-4.577,4.91,0.0,-5.204,1.034,4.796,1.838,0.0,0.0,0.8690000000000001,1.01
48,1318,4812.0,0,0,0,2620.5,26206.0,0,1767.8,522.1,12609.0,5565.4,85.3,4759.8,310.53,51.6,0.0,3861.5,1082.2,1047.5,163.8,78.3,0.0,1285.1,7041.9,1067.0,13082.0,1.7,4485.7,1241.2,7598.9,27.8,141.0,704.3,288.9,61.73
49,1327,3674.0,0,0,0,2620.5,26206.0,0,157.891,14.345,316.119,292.1620000000001,114.14,68.6,44.26,0.129,0.0,0.106,21.004,-18.286,12.218,0.0,51.727,21.568,23.957,-18.286,229.946,0.0,48.893,24.485,126.502,4.789,0.0,-9.008,0.041,15.25
50,1331,3357.0,0,0,0,2620.5,26206.0,0,562.123,110.964,1952.151,45.642,56.369,1424.9589999999996,13.905,230.731,87.88799999999998,1298.684,67.613,-35.479,263.21,83.57700000000001,3.835,448.833,1861.235,-30.984,667.738,0.4270000000000001,-23.511,201.376,1747.302,0.0,0.0,-20.574,136.664,1.7
51,1356,3350.0,0,0,0,2620.5,26206.0,0,6792.0,1630.0,28355.0,10558.0,527.0,17857.0,847.582,245.0,3343.0,6388.0,1253.0,908.0,2531.0,0.0,15.0,5003.0,16428.0,908.0,22536.0,56.0,6225.0,2865.0,22859.0,552.0,903.0,525.0,393.0,35.55
52,1360,7373.0,0,0,0,2620.5,26206.0,0,6.2810000000000015,1.23,11.632,5.484,1.976,18.689,8.373,2.315,0.887,1.505,1.64,0.458,0.0,0.0,0.928,4.643,6.148,0.561,8.619,0.0,-6.932,3.514,23.047,0.032,0.0,0.0,0.393,1.02
53,1372,3714.0,0,0,0,2620.5,26206.0,0,151.428,66.032,458.69,115.512,14.981,449.608,8.577,28.694000000000006,108.57,170.296,33.902,-37.131,58.19300000000001,0.0,0.0,132.74,343.17800000000005,-37.131,445.44,0.0,41.5,64.408,529.373,1.5,0.0,-12.435,17.532,8.35
54,1380,2911.0,0,0,0,2620.5,26206.0,0,3946.0,1807.0,15369.0,4907.0,37.0,9670.0,88.757,382.0,3060.0,5283.0,967.0,914.0,550.0,1142.0,0.0,3718.0,10462.0,914.0,16627.0,0.0,3915.0,2962.0,13413.0,59.0,414.0,524.0,238.0,62.5
55,1382,4512.0,0,0,0,2620.5,26206.0,0,361.398,253.318,1570.909,522.3430000000002,156.865,2142.263,33.728,119.141,423.422,222.955,199.883,-147.871,51.833,0.0,0.0,690.5260000000002,1048.566,-147.871,1390.6989999999996,0.0,234.265,109.012,2065.913,0.0,59.24,-73.23,38.849,3.5
56,1397,3089.0,0,0,0,2620.5,26206.0,0,171.27900000000002,28.501,372.764,77.248,18.22,279.264,3.442,12.684,24.787,125.123,16.986,2.8160000000000003,93.923,0.0,1.416,89.43799999999997,283.564,2.8160000000000003,324.099,0.0,72.786,39.768,417.351,0.103,1.212,1.814,11.267,14.12
57,1408,3490.0,0,0,0,2620.5,26206.0,0,1969.6,308.9,5300.9,2094.1,48.7,2934.3,147.998,39.2,0.0,950.3,218.7,386.0,856.6,0.0,0.0,1258.4,2807.4,386.0,2261.9,8.6,4026.0,860.6,5318.3,54.0,353.3,94.4,96.8,39.59
58,1410,7340.0,0,0,0,2620.5,26206.0,0,465.541,50.67100000000001,683.1,361.177,3.052,1696.006,24.389,10.877,108.0,0.942,26.328000000000007,32.826,25.974,13.871,0.0,235.999,321.923,32.826,108.887,0.0,229.691,367.201,1950.038,26.688,6.816,20.119,2.602,27.3
59,1418,6153.0,1,0,0,2620.5,26206.0,0,103.715,5.204,113.324,16.634,1.3430000000000002,13.216,3.2880000000000003,89.39200000000002,0.0,0.0,0.77,1.651,0.0,0.0,0.0,96.69,96.69,-1.243,2.24,0.0,45.371,102.028,15.663,0.0,0.0,0.02,0.055,2.6
60,1439,4955.0,0,0,0,2620.5,26206.0,0,19.771,2.408,86.824,26.415,4.476,28.472,13.765999999999998,14.86,1.173,4.436,5.03,0.802,0.0,0.0,0.0,30.339,60.408,0.802,61.103,0.001,-28.36,13.414,56.01600000000001,0.095,0.25,0.18600000000000005,1.122,1.75
61,1444,7370.0,0,0,0,2620.5,26206.0,0,12.655,0.153,18.2,17.867,11.565,0.242,4.8660000000000005,0.0,0.0,0.0,0.026,-0.32,0.0,0.0,0.0,0.333,0.333,-1.007,3.88,0.0,14.6,1.024,0.0,0.025,0.0,-0.002,0.0,1.5
62,1468,2771.0,0,0,0,2620.5,26206.0,0,1066.182,130.601,2614.995,902.419,100.979,768.311,63.761,11.72,554.398,853.113,84.30799999999998,-122.31,290.8040000000001,0.0,0.0,716.04,1712.576,-122.31,1034.211,0.0,991.324,288.986,2436.847,2.929,150.588,-74.014,78.59899999999998,13.77
63,1478,2834.0,0,0,0,2620.5,26206.0,0,9766.753,672.457,22967.922,4072.522,3026.722,2781.047,1320.57,2097.354,7007.156,7357.276999999999,607.729,2285.294,1754.971,0.0,1281.988,7257.181,18895.349,2285.294,8944.451,0.051,-662.7189999999998,2743.04,14128.514,224.631,229.847,583.453,395.458,61.36
64,1491,2621.0,0,0,0,2620.5,26206.0,0,83.24,20.188,241.172,145.434,0.815,82.75299999999999,3.919,27.17,0.0,18.249,6.666,7.896,27.066,0.0,0.0,65.369,95.738,7.896,207.949,0.0,96.079,52.244,107.667,0.0,3.22,2.41,0.0,40.5
65,1496,2540.0,0,0,0,2620.5,26206.0,0,17.132,1.348,29.735,14.554,4.579,27.105,2.043,1.63,11.927,9.948,0.956,3.06,6.814,0.0,0.0,4.823,15.181,3.06,15.713,0.0,15.369000000000002,5.043,39.627,0.0,0.394,1.88,0.442,17.0
66,1500,7370.0,0,0,0,2620.5,26206.0,0,331.1,12.1,600.2,376.5,53.3,698.3,41.697,0.0,41.0,0.0,8.7,15.9,0.0,0.0,0.0,149.2,223.7,15.9,77.7,0.0,334.6,246.4,1183.3,2.2,14.2,11.0,4.7,18.08
67,1511,7370.0,0,0,0,2620.5,26206.0,0,2.97,0.0,3.072,3.051,2.95,0.0,3.447,0.0,0.0,0.0,0.002,-0.205,0.0,0.101,0.0,0.021,0.021,-0.205,0.003,0.0,-1.757,0.0,0.0,0.0,0.0,0.0,0.0,0.83
68,1523,7380.0,0,0,0,2620.5,26206.0,0,4.774,0.799,14.431,9.735,0.8190000000000001,4.633,6.455,1.561,0.041,0.78,2.024,0.11,0.171,0.163,0.0,3.017,4.377,0.11,14.718,0.319,3.4360000000000004,3.143,13.947,0.075,0.0,0.2,0.219,2.87
69,1539,6282.0,1,0,0,2620.5,26206.0,0,7.824,1.298,22.419,12.667,3.851,21.101,2.359,0.0,1.715,2.275,0.312,-1.988,0.149,1.067,0.0,4.418,9.628,-0.578,2.221,0.0,8.271,1.896,23.12,0.0,0.061,-0.952,0.388,3.7
70,1554,3844.0,0,0,0,2620.5,26206.0,0,44.43600000000001,6.557,50.24100000000001,23.129,7.591,46.978,5.549,9.319,0.0,0.0,2.379,-4.512,26.469,0.0,0.0,26.1,27.112,-4.512,20.029,0.0,-3.052,7.216,65.396,3.814,0.763,0.0,0.4370000000000001,15.14
71,1559,3844.0,0,0,0,2620.5,26206.0,0,14.788,0.412,42.385,13.785,11.63,1.354,3.525,4.305,0.0,21.615,2.931,1.068,0.0,0.0,0.05,5.437,27.435,1.068,34.714,0.0,3.805,2.369,11.758,0.016,0.0,0.433,2.651,3.02
72,1577,3670.0,0,0,0,2620.5,26206.0,0,44.288,1.755,76.57600000000002,55.82899999999999,5.1789999999999985,43.868,8.007,0.877,3.784,7.211,3.996,10.332,24.568,0.0,3.52,10.626,20.747,10.332,59.728,0.0,46.176,11.53,84.585,0.344,1.759,5.564,0.5589999999999999,9.81
73,1581,4813.0,0,0,0,2620.5,26206.0,0,22528.0,4744.0,165282.0,51680.0,11260.0,26096.0,3542.406,12958.0,12415.0,45247.0,9338.0,-6842.0,0.0,19218.0,668.0,25427.0,110042.0,7135.0,73368.0,0.0,-3826.0,9381.0,52550.0,10113.0,0.0,-791.0,3242.0,18.14
74,1587,4941.0,0,0,0,2620.5,26206.0,0,330.588,97.072,6607.099,1758.0179999999998,19.691,794.082,100.014,580.17,457.997,2550.019,185.211,161.483,32.281,39.956,0.0,824.7339999999998,4799.666,161.483,7048.6680000000015,11.673,1143.73,248.03,1438.8870000000004,36.082,21.756,110.324,195.285,41.75
75,1593,3270.0,0,0,0,2620.5,26206.0,0,265.708,46.703,485.08,204.247,11.315,394.679,3.873,12.677,11.808,137.197,18.633,27.741,92.534,0.508,0.0,109.218,280.833,27.741,364.167,0.0,220.432,135.963,551.396,0.13,2.352,10.85,10.470999999999998,66.35
76,1594,5331.0,0,0,0,2620.5,26206.0,0,600.654,67.458,1083.731,-415.756,29.105,2438.544,29.489,350.09,55.0,80.816,79.449,-813.078,532.4069999999998,0.0,0.0,631.835,1499.487,-813.078,591.623,0.0,-948.523,12.630999999999998,3264.565,0.0,0.0,429.924,76.15100000000002,0.195
77,1602,2836.0,0,0,0,2620.5,26206.0,0,3858.6,136.7,6443.1,5217.2,2662.2,137.6,1045.8,99.9,0.0,223.0,265.9,1119.7,355.6,215.9,1973.1,1002.9,1225.9,1119.7,3109.9,0.0,1743.1,497.2,4015.7,277.7,92.6,566.6,26.3,56.44
78,1606,3672.0,0,0,0,2620.5,26206.0,0,7.755,0.285,13.667,8.283,3.627,12.359000000000002,3.087,4.5,0.0,0.0,0.6970000000000001,-3.09,2.8760000000000003,0.0,0.0,5.384,5.384,-3.09,12.515,0.0,3.715,1.065,13.659,0.004,0.0,-0.066,0.125,1.25
79,1613,3460.0,0,0,0,2620.5,26206.0,0,114.672,13.739,241.571,157.407,13.514,169.842,9.609,1.35,0.0,13.311,7.747000000000001,-0.983,47.278,0.0,0.0,35.124,84.164,-0.983,174.892,0.0,45.007,45.506,219.167,0.016,0.0,1.086,0.659,10.75
80,1627,7370.0,0,0,0,2620.5,26206.0,0,81.315,13.958,207.818,-277.927,24.308000000000003,187.183,14.566,366.018,0.0,0.0,31.258000000000006,-47.49100000000001,4.937,1.252,0.0,475.603,485.745,-47.49100000000001,76.982,0.0,-389.397,44.755,306.348,0.0,5.625,3.217,43.86,0.04
81,1632,3674.0,0,0,0,2620.5,26206.0,0,3434.919000000001,79.78399999999998,4884.863,2843.026,2793.2270000000008,850.7,363.25,6.432,0.0,1206.038,210.19,356.3769999999999,246.852,246.505,1428.2779999999998,527.948,2041.837,356.3769999999999,1965.557,0.0,2074.116,218.151,2276.915,39.947,121.844,150.86700000000005,68.97399999999999,38.0
82,1633,3825.0,0,0,0,3784.0,37841.0,1,269.758,15.378,359.159,298.494,122.912,217.156,13.224,0.644,0.0,5.56,13.913,13.588,60.69600000000001,0.0,76.899,44.139,60.665,13.588,185.856,0.0,274.209,68.28699999999999,352.139,1.928,1.904,5.726,0.348,40.11
83,1634,7371.0,0,0,0,2620.5,26206.0,0,110.835,37.778,192.884,91.083,18.204,452.582,24.197,41.0,52.895,0.0,8.336,-2.98,0.0,0.0,0.0,94.213,101.801,-2.98,53.155,0.0,68.542,85.727,551.727,0.006,0.0,0.21600000000000005,2.899,4.13
84,1635,3663.0,0,0,0,2620.5,26206.0,0,154.40200000000004,2.986,209.055,199.454,120.307,48.125,22.318,0.0,0.0,0.0,4.401,12.214,18.567,11.726,108.558,7.724,9.601,12.214,50.06100000000001,0.0,39.643,12.863,84.825,2.887,0.939,6.4,0.16,20.0
85,1641,3640.0,0,0,0,2620.5,26206.0,0,10.424,1.041,25.269,10.254,1.607,17.355999999999998,2.094,2.801,0.0,2.158,1.334,0.575,4.167,0.0,0.455,5.904,11.518,0.528,19.536,3.497,3.659,3.82,28.084,0.01,0.65,0.411,1.1,8.0473
86,1642,3564.0,0,0,0,2620.5,26206.0,0,16.205,6.171,23.202,13.588,3.583,22.475,1.855,0.155,0.5,1.162,0.312,0.905,7.233,0.8759999999999999,0.0,8.452,9.614,0.905,5.734,0.0,9.761,4.726,28.899,0.065,0.062,0.622,0.198,5.95
87,1650,3663.0,0,0,0,2620.5,26206.0,0,9.756,1.147,34.02,19.289,3.724,6.66,16.309,0.159,0.0,0.038,0.741,-13.63,3.39,0.0,0.0,4.125,4.9460000000000015,-13.63,4.383,9.785,-44.56800000000001,2.094,10.259,0.016,0.0,0.0,0.052000000000000005,0.85
88,1655,7200.0,0,0,0,2620.5,26206.0,0,180.12900000000005,20.958,290.865,141.504,18.742,246.466,8.607999999999999,71.602,12.0,0.812,11.1,1.629,46.631,0.0,0.0,133.16899999999998,149.361,-22.709,174.893,0.0,142.188,33.536,350.0630000000001,0.0,0.0,0.161,7.39,11.8
