Model Name,Model Name,Model Parameter,Training Score,Testing Score,Exhaustividad,F1,AUC
Bagging-LR-NM,Logistic Regression with Bagging NearMiss,{},0.9380530973451328,0.8979591836734694,0.8461538461538461,0.8979591836734695,0.9013377926421405
Bagging-DT-NM,Decision Tree with Bagging NearMiss,{},1.0,1.0,1.0,1.0,1.0
Bagging-RF-NM,Random Forest Classifier with Bagging NearMiss,{},0.9823008849557522,0.9591836734693877,0.9230769230769231,0.9600000000000001,0.9615384615384616
BaggingLR-SM-PCA,Logistic Regression with Bagging Smote PCA,{},0.6342545206414193,0.6187317590872911,0.36576482830385015,0.4945480126626802,0.6238677958519793
Bagging-DT-SM-PCA,Decision Tree with Bagging Smote PCA,{},0.9782781758216763,0.9127089413637569,0.9427679500520292,0.9167720718441691,0.9120986474678121
Bagging-RF-SM-PCA,Random Forest Classifier with Bagging Smote PCA,{},0.9706584783350393,0.9068718492968957,0.9339229968782519,0.9109363105810708,0.9063226245896403
Bagging-LR-SM,Logistic Regression with Bagging Smote,{},0.8020015921755942,0.7994162907933139,0.7679500520291364,0.7961165048543689,0.8000551559550122
BaggingDT-SM,Decision Tree with Bagging Smote,{},1.0,1.0,1.0,1.0,1.0
Bagging-RF-SM,Random Forest Classifier with Bagging Smote,{},0.9998862731718412,0.9994693552666489,0.9989594172736732,0.9994794377928162,0.9994797086368366
Hard Voting-NM-PCA,Hard Voting Classifier With NearMiss PCA,{},1.0,1.0,1.0,1.0,1.0
Soft Voting-NM-PCA,Soft Voting Classifier With NearMiss PCA,{},1.0,0.9591836734693877,0.9615384615384616,0.9615384615384616,0.9590301003344482
Hard Voting-NM,Hard Voting Classifier,{},1.0,0.9795918367346939,0.9615384615384616,0.9803921568627451,0.9807692307692308
Soft Voting-NM-PCA,Soft Voting Classifier,{},1.0,0.9591836734693877,0.9615384615384616,0.9615384615384616,0.9590301003344482
Hard Voting-SM-PCA,Hard Voting Classifier With Smote PCA,{},1.0,0.9036879808967896,0.9099895941727367,0.905982905982906,0.9035600380176082
Soft Voting-SM-PCA,Soft Voting Classifier With Smote PCA,,1.0,0.8949323427964977,0.913111342351717,0.8986175115207373,0.8945632510350896
Hard Voting-SM,Hard Voting Classifier,,1.0,1.0,1.0,1.0,1.0
Soft Voting-SM,Soft Voting Classifier,,1.0,1.0,1.0,1.0,1.0
Neural Network-NM-PCA, Neural Network Model With NearMiss PCA,,,,0.46938775510204084,0.0,0.5
Neural Network-NM, Neural Network Model With NearMiss ,,,,0.9183673469387755,0.9166666666666666,0.9230769230769231
Neural Network-SM-PCA, Neural Network With Smote PCA,,,,0.49005041124966836,0.0,0.5
Neural Network-SM, Neural Network With Smote,,,,0.962058901565402,0.9616519174041298,0.9626512774603696
